T	43.207460000	-96.137830000	424.7	270.0	-3.1	14.4387	16.25		
T	43.207460000	-96.137830000	424.7	270.0		14.4387	0.00		
T	43.207370000	-96.137850000	424.4	189.2	-3.0	14.4489	10.13		
T	43.205180000	-96.137860000	420.6	180.2	-1.6	14.6922	243.30		
T	43.201780000	-96.137860000	421.6	180.0	0.3	15.0699	377.73		
T	43.200520000	-96.137850000	420.1	179.7	-1.1	15.2099	139.98		
T	43.200380000	-96.137740000	420.6	150.2	2.8	15.2278	17.94		
T	43.200280000	-96.137740000	420.6	180.0	0.0	15.2389	11.11		
T	43.200240000	-96.137740000	420.5	180.0	-2.2	15.2434	4.44		
T	43.199960000	-96.137780000	420.3	185.9	-0.6	15.2746	31.28		
T	43.198210000	-96.137750000	423.9	179.3	1.9	15.4691	194.43		
T	43.197680000	-96.137740000	424.1	179.2	0.3	15.5280	58.89		
T	43.197480000	-96.137720000	424.1	175.8	0.0	15.5502	22.28		
T	43.196990000	-96.137690000	424.5	177.4	0.7	15.6047	54.49		
T	43.196860000	-96.137740000	424.4	195.7	-0.7	15.6197	15.00		
T	43.196300000	-96.137800000	423.9	184.5	-0.8	15.6821	62.40		
T	43.196130000	-96.137770000	424.0	172.7	0.5	15.7012	19.04		
T	43.195840000	-96.137730000	424.4	174.3	1.2	15.7336	32.38		
T	43.195830000	-96.137730000	424.5	180.0		15.7347	1.11		
T	43.195550000	-96.137750000	425.1	183.0	1.9	15.7658	31.15		
T	43.194640000	-96.137750000	428.7	180.0	3.6	15.8669	101.10		
T	43.194370000	-96.137660000	428.3	166.3	-1.3	15.8978	30.88		
T	43.193020000	-96.137580000	430.3	177.5	1.3	16.0479	150.12		
T	43.193020000	-96.137580000	430.3	177.5		16.0479	0.00		
T	43.192930000	-96.137590000	430.5	184.6	2.0	16.0579	10.03		
T	43.192930000	-96.137590000	430.5	184.6		16.0579	0.00		
T	43.192940000	-96.136370000	430.7	89.4	0.2	16.1571	99.17		
T	43.192910000	-96.135300000	433.2	92.2	2.9	16.2442	87.04		
T	43.192900000	-96.135230000	433.2	101.1	0.0	16.2500	5.80		
T	43.192870000	-96.135180000	433.3	129.5	1.9	16.2552	5.26		
T	43.192840000	-96.135160000	433.3	154.1	0.0	16.2589	3.71		
T	43.192810000	-96.135140000	433.3	154.1	0.0	16.2626	3.71		
T	43.192670000	-96.135130000	433.3	177.0	0.0	16.2782	15.57		
T	43.192670000	-96.135130000	433.3	177.0		16.2782	0.00		
T	43.192680000	-96.133740000	431.7	89.4	-1.4	16.3912	112.99		
T	43.192680000	-96.133740000	431.7	89.4		16.3912	0.00		
T	43.191650000	-96.133750000	432.8	180.4	1.0	16.5056	114.43		
T	43.190690000	-96.133730000	435.1	179.1	2.2	16.6123	106.66		
T	43.189670000	-96.133730000	437.8	180.0	2.4	16.7256	113.32		
T	43.188680000	-96.133700000	439.5	178.7	1.5	16.8356	110.01		
T	43.188590000	-96.133690000	439.5	175.4	0.0	16.8457	10.03		
T	43.188680000	-96.133700000	439.5	355.4	0.0	16.8557	10.03		
T	43.189670000	-96.133730000	437.8	358.7	-1.5	16.9657	110.01		
T	43.190690000	-96.133730000	435.1	0.0	-2.4	17.0790	113.32		
T	43.190690000	-96.133730000	435.1	0.0		17.0790	0.00		
T	43.190710000	-96.132350000	434.3	88.9	-0.7	17.1912	112.20		
T	43.190730000	-96.130990000	435.1	88.8	0.7	17.3018	110.57		
T	43.190730000	-96.129570000	438.1	90.0	2.6	17.4172	115.43		
T	43.190730000	-96.127710000	441.7	90.0	2.4	17.5684	151.20		
T	43.190740000	-96.125420000	441.6	89.7	-0.1	17.7546	186.15		
T	43.190730000	-96.122820000	438.8	90.3	-1.3	17.9659	211.35		
