type	latitude	longitude	altitude (m)	course	slope (%)	distance (km)	distance_interval (m)	slope corrected
1	43.327712	-95.332374	442.2	90	0.2	97.1806	261	0.2
1	43.327713	-95.329157	443.6	90	0.5	97.4415	260.92	0.5
1	43.327715	-95.325939	444.7	90	0.4	97.7025	261	0.4
1	43.327716	-95.322721	446	90	0.5	97.9635	261	0.5
1	43.327717	-95.319503	449.8	90	1.5	98.2245	261	1.5
1	43.327718	-95.316286	447.7	90	-0.8	98.4854	260.92	-0.8
1	43.327719	-95.313068	449.5	90	0.7	98.7464	261	0.7
1	43.327718	-95.307898	447.5	90	-0.5	99.1658	419.32	-0.5
1	43.327716	-95.304806	446	90	-0.6	99.4165	250.78	-0.6
1	43.327715	-95.301714	448.3	90	0.9	99.6673	250.78	0.9
1	43.327713	-95.298622	449.2	90	0.4	99.9181	250.78	0.4
1	43.327711	-95.29553	450.3	90	0.4	100.1689	250.78	0.4
1	43.327717	-95.290826	452.9	89.9	0.7	100.5504	381.52	0.7
1	43.327724	-95.288172	453.7	89.8	0.4	100.7657	215.26	0.4
1	43.327752	-95.283226	454.4	89.6	0.2	101.1668	401.16	0.2
1	43.327774	-95.280321	455.1	89.4	0.3	101.4024	235.63	0.3
1	43.327795	-95.277417	454.8	89.4	-0.1	101.638	235.54	-0.1
1	43.327817	-95.274512	454.8	89.4	0	101.8736	235.63	0
1	43.327845	-95.270311	453.7	89.5	-0.3	102.2144	340.74	-0.3
1	43.327859	-95.267812	452.6	89.6	-0.5	102.417	202.69	-0.5
1	43.327869	-95.264199	452.3	89.8	-0.1	102.7101	293.04	-0.1
1	43.327877	-95.260748	450.7	89.8	-0.6	102.99	279.9	-0.6
1	43.327886	-95.257297	449.6	89.8	-0.4	103.2699	279.9	-0.4
1	43.327894	-95.253846	449.5	89.8	0	103.5498	279.9	0
1	43.327903	-95.250395	450	89.8	0.2	103.8297	279.9	0.2
1	43.32792	-95.245025	448.4	89.7	-0.4	104.2652	435.54	-0.4
1	43.32793	-95.24249	442	89.7	-3.1	104.4708	205.61	-3.1
1	43.32794	-95.239955	446.2	89.7	2	104.6764	205.61	2
1	43.327956	-95.236462	448.4	89.6	0.8	104.9597	283.31	0.8
1	43.327972	-95.232975	448.2	89.6	-0.1	105.2426	282.82	-0.1
1	43.327988	-95.229487	444.7	89.6	-1.2	105.5255	282.9	-1.2
1	43.327933	-95.225863	442.8	91.2	-0.6	105.8195	293.99	-0.6
1	43.327843	-95.221002	441.8	91.5	-0.3	106.2138	394.38	-0.3
1	43.327786	-95.218043	441.4	91.5	-0.2	106.4539	240.08	-0.2
1	43.327728	-95.215085	434.7	91.5	-2.8	106.6939	240	-2.8
1	43.32763	-95.210147	437.9	91.6	0.8	107.0946	400.65	0.8
1	43.327581	-95.207703	439.3	91.6	0.7	107.2929	198.3	0.7
1	43.327497	-95.203766	430	91.7	-2.9	107.6123	319.45	-2.9
1	43.327417	-95.200224	424.6	91.8	-1.9	107.8997	287.42	-1.9
1	43.327389	-95.197796	438.7	90.9		108.0967	196.95	7.1
1	43.327449	-95.1932	439.5	89	0.2	108.4695	372.83	0.2
1	43.327478	-95.19071	438.8	89.1	-0.3	108.6715	201.98	-0.3
1	43.327552	-95.187006	438	88.4	-0.3	108.972	300.53	-0.3
1	43.327629	-95.183351	435.6	88.3	-0.8	109.2686	296.57	-0.8
1	43.327705	-95.180154	435.8	88.1	0.1	109.528	259.43	0.1
1	43.327779	-95.176326	438.2	88.5	0.8	109.8386	310.58	0.8
1	43.327851	-95.172366	434.2	88.6	-1.2	110.1599	321.28	-1.2
1	43.327893	-95.167989	435.8	89.2	0.5	110.5149	355.03	0.5
1	43.327897	-95.165569	436.2	89.9	0.2	110.7112	196.28	0.2
1	43.3279	-95.163148	436.6	89.9	0.2	110.9076	196.36	0.2
1	43.3279	-95.159661	437.1	90	0.2	111.1904	282.82	0.2
2	43.32791	-95.155509	438.4	89.8	0.4	111.5271	336.75	0.4
2	43.32792	-95.151681	438.7	89.8	0.1	111.8376	310.48	0.1
2	43.32792	-95.15121	438.7	90	0	111.8758	38.2	0
2	43.327899	-95.148346	438.9	90.6	0.1	112.1081	232.3	0.1
2	43.327879	-95.145482	439.4	90.5	0.2	112.3404	232.3	0.2
2	43.327823	-95.141466	439.6	91.1	0.1	112.6662	325.78	0.1
2	43.327776	-95.138682	438.3	91.3	-0.6	112.892	225.86	-0.6
2	43.32775	-95.133413	426.7	90.4	-2.7	113.3194	427.36	-2.7
2	43.327761	-95.130917	432	89.7	2.6	113.5219	202.44	2.6
2	43.327806	-95.126065	442.1	89.3	2.6	113.9154	393.56	2.6
2	43.327841	-95.12342	441.3	89	-0.4	114.13	214.56	-0.4
2	43.327877	-95.120775	440.6	88.9	-0.3	114.3445	214.56	-0.3
2	43.327925	-95.117003	446.9	89	2.1	114.6505	305.98	2.1
2	43.327972	-95.113609	447.3	88.9	0.1	114.9258	275.32	0.1
2	43.32799	-95.109782	441.9	89.6	-1.7	115.2362	310.4	-1.7
2	43.32799	-95.107234	442.9	90	0.5	115.4429	206.66	0.5
2	43.327984	-95.103674	446.5	90.1	1.3	115.7316	288.74	1.2
2	43.327959	-95.098701	445.1	90.4	-0.3	116.135	403.35	-0.3
2	43.327937	-95.095952	443.5	90.6	-0.7	116.358	222.97	-0.7
2	43.327916	-95.093203	445	90.6	0.7	116.5809	222.97	0.7
2	43.327974	-95.087568	448.1	89.2	0.7	117.038	457.08	0.7
2	43.328009	-95.084926	448.4	89	0.1	117.2523	214.32	0.1
2	43.328043	-95.082285	449.7	89	0.6	117.4666	214.23	0.6
2	43.328101	-95.078138	452.2	88.9	0.7	117.803	336.41	0.7
2	43.32815	-95.074325	453.1	89	0.3	118.1123	309.3	0.3
2	43.328127	-95.070515	453.3	90.5	0.1	118.4213	309.02	0.1
2	43.328084	-95.068501	451.9	91.7	-0.9	118.5847	163.42	-0.9
2	43.328012	-95.064595	449.5	91.5	-0.8	118.9016	316.9	-0.8
2	43.327955	-95.061351	448	91.4	-0.6	119.1648	263.18	-0.6
2	43.327897	-95.058106	447.2	91.4	-0.3	119.4281	263.27	-0.3
2	43.327839	-95.054862	445.5	91.4	-0.6	119.6912	263.19	-0.6
2	43.327791	-95.049895	447.2	90.8	0.4	120.0941	402.89	0.4
2	43.327781	-95.047151	447.1	90.3	0	120.3167	222.56	0
2	43.327772	-95.044406	445	90.3	-0.9	120.5393	222.64	-0.9
2	43.327738	-95.040563	445.4	90.7	0.1	120.851	311.71	0.1
2	43.327705	-95.037286	446.2	90.8	0.3	121.1169	265.81	0.3
2	43.327673	-95.034008	445.4	90.8	-0.3	121.3827	265.89	-0.3
2	43.327683	-95.029635	445.1	89.8	-0.1	121.7374	354.68	-0.1
2	43.327706	-95.026539	443.1	89.4	-0.8	121.9885	251.12	-0.8
2	43.327729	-95.023444	442.4	89.4	-0.3	122.2396	251.04	-0.3
2	43.32773	-95.018698	441.2	90	-0.3	122.6245	384.93	-0.3
2	43.327719	-95.015356	439.1	90.3	-0.8	122.8956	271.06	-0.8
2	43.327709	-95.012015	436	90.2	-1.1	123.1665	270.98	-1.1
2	43.327699	-95.008673	435.9	90.2	0	123.4376	271.06	0
2	43.327689	-95.005331	435.4	90.2	-0.2	123.7087	271.06	-0.2
2	43.327678	-95.001989	435.9	90.3	0.2	123.9797	271.06	0.2
2	43.327668	-94.998647	435.3	90.2	-0.2	124.2508	271.06	-0.2
2	43.327658	-94.995306	434.3	90.2	-0.4	124.5218	270.98	-0.4
2	43.327647	-94.991964	434.3	90.3	0	124.7928	271.06	0
2	43.327637	-94.988622	433.5	90.2	-0.3	125.0639	271.06	-0.3
2	43.32762	-94.983444	435.9	90.3	0.6	125.4839	419.97	0.6
2	43.32761	-94.980567	438.9	90.3	1.3	125.7172	233.35	1.3
2	43.327599	-94.977691	438.4	90.3	-0.2	125.9505	233.27	-0.2
2	43.32759	-94.973932	438.9	90.2	0.2	126.2554	304.88	0.2
2	43.32759	-94.97354	439.4	90	1.6	126.2871	31.79	1.6
2	43.325224	-94.973647	438.6	181.9	-0.3	126.5501	263	-0.3
2	43.322848	-94.973614	438.6	179.4	0	126.8141	263.98	0
2	43.320472	-94.973582	438.3	179.4	-0.1	127.0781	263.98	-0.1
2	43.318097	-94.973549	438	179.4	-0.1	127.342	263.87	-0.1
2	43.315721	-94.973516	439.7	179.4	0.6	127.606	263.98	0.6
2	43.313345	-94.973483	438.4	179.4	-0.5	127.87	263.98	-0.5
2	43.310683	-94.973452	436.9	179.5	-0.5	128.1657	295.76	-0.5
2	43.308266	-94.973424	436.1	179.5	-0.3	128.4343	268.54	-0.3
2	43.305577	-94.973374	437.2	179.2	0.4	128.733	298.77	0.4
2	43.30197	-94.973315	435.9	179.3	-0.3	129.1338	400.76	-0.3
2	43.3001	-94.973291	434.9	179.5	-0.5	129.3415	207.76	-0.5
2	43.29851	-94.97327	433.4	179.4	-0.8	129.5182	176.65	-0.8
2	43.29864	-94.971854	435.2	82.8	1.6	129.634	115.81	1.6
2	43.298638	-94.968084	433	90	-0.7	129.9399	305.92	-0.7
2	43.298625	-94.965028	431.6	90.3	-0.6	130.1879	247.98	-0.6
2	43.298613	-94.961972	432.6	90.3	0.4	130.4359	247.98	0.4
2	43.298601	-94.958916	433.6	90.3	0.4	130.6839	247.98	0.4
2	43.298591	-94.95524	432.6	90.2	-0.3	130.9822	298.29	-0.3
2	43.298582	-94.951791	430.9	90.2	-0.6	131.262	279.87	-0.6
2	43.298573	-94.948341	429.9	90.2	-0.4	131.542	279.95	-0.4
2	43.298564	-94.944892	432.2	90.2	0.8	131.8219	279.87	0.8
2	43.298555	-94.941442	432.9	90.2	0.3	132.1018	279.95	0.3
2	43.298546	-94.937993	436.4	90.2	1.3	132.3817	279.87	1.3
2	43.298539	-94.932566	439.2	90.1	0.6	132.8221	440.38	0.6
2	43.298537	-94.929411	439.1	90	0	133.0781	256.01	0
2	43.298536	-94.926257	439.1	90	0	133.334	255.93	0
2	43.298534	-94.923102	439	90	0	133.59	256.01	0
2	43.298533	-94.919948	437.5	90	-0.6	133.8459	255.93	-0.6
2	43.298531	-94.916793	435.9	90	-0.6	134.102	256.01	-0.6
2	43.298555	-94.911812	438.2	89.6	0.6	134.5062	404.19	0.6
2	43.29858	-94.909624	440.1	89.1	1.1	134.6837	177.57	1.1
2	43.298624	-94.90566	441.1	89.1	0.3	135.0054	321.7	0.3
2	43.298659	-94.90252	441.7	89.1	0.2	135.2602	254.82	0.2
2	43.298693	-94.89938	441.7	89.1	0	135.5151	254.82	0
2	43.298703	-94.895765	445.2	89.8	1.2	135.8084	293.34	1.2
2	43.29907	-94.89557	446	21.1	1.8	135.8521	43.74	1.8
2	43.301642	-94.895762	447.1	356.9	0.4	136.1383	286.17	0.4
2	43.304012	-94.895918	445.8	357.3	-0.5	136.4019	263.61	-0.5
2	43.307372	-94.896157	445.8	357	0	136.7757	373.79	0
2	43.309244	-94.896304	444.7	356.7	-0.5	136.984	208.32	-0.5
2	43.311116	-94.89645	444.6	356.8	0	137.1923	208.31	0
2	43.313116	-94.8954	445	20.9	0.2	137.4303	237.97	0.2
2	43.313175	-94.890572	445.7	89	0.2	137.822	391.73	0.2
2	43.31321	-94.888354	445.9	88.8	0.1	138.002	179.98	0.1
2	43.313254	-94.884285	449	89.1	0.9	138.3322	330.14	0.9
2	43.313279	-94.8815	449.1	89.3	0	138.5581	225.95	0
2	43.313331	-94.876377	451.9	89.2	0.7	138.9738	415.65	0.7
2	43.313362	-94.873673	451.1	89.1	-0.4	139.1931	219.39	-0.4
2	43.313393	-94.87097	451.2	89.1	0	139.4125	219.31	0
2	43.31342	-94.866863	435.1	89.5		139.7456	333.2	-4.8
2	43.313441	-94.863127	432.2	89.6	-1	140.0487	303.09	-1
2	43.313462	-94.860734	429.9	89.3	-1.2	140.2429	194.15	-1.2
2	43.313476	-94.857066	433.2	89.7	1.1	140.5405	297.57	1.1
2	43.31344	-94.85681	433.8	100.9	2.8	140.5616	21.15	2.8
2	43.311096	-94.85675	430.2	178.9	-1.4	140.8221	260.46	-1.4
2	43.308753	-94.85669	436.1	178.9	2.3	141.0824	260.35	2.3
2	43.306409	-94.85663	436.2	178.9	0	141.3429	260.46	0
2	43.303234	-94.856545	443	178.9	1.9	141.6957	352.81	1.9
2	43.301229	-94.856491	442	178.9	-0.4	141.9185	222.8	-0.4
2	43.298439	-94.856433	449	179.1	2.3	142.2285	310	2.3
2	43.294618	-94.856377	448.1	179.4	-0.2	142.653	424.53	-0.2
2	43.292606	-94.856353	448.1	179.5	0	142.8766	223.54	0
2	43.290594	-94.85633	448.7	179.5	0.3	143.1001	223.54	0.3
2	43.288582	-94.856307	451.3	179.5	1.2	143.3236	223.54	1.2
2	43.286015	-94.85627	455.4	179.4	1.4	143.6088	285.21	1.4
2	43.283399	-94.856259	452.7	179.8	-0.9	143.8995	290.63	-0.9
2	43.28099	-94.856292	451.6	180.6	-0.4	144.1671	267.65	-0.4
2	43.278099	-94.85633	451.1	180.5	-0.2	144.4883	321.2	-0.2
2	43.27537	-94.856367	442.1	180.6	-3	144.7915	303.2	-3
2	43.273399	-94.856395	442.6	180.6	0.2	145.0105	218.99	0.2
2	43.270739	-94.856431	448.7	180.6	2.1	145.306	295.54	2.1
2	43.267111	-94.856473	459	180.5	2.6	145.7091	403.08	2.6
2	43.265602	-94.856486	455.3	180.4	-2.2	145.8768	167.65	-2.2
2	43.262829	-94.856514	458.8	180.4	1.1	146.1848	308.08	1.1
2	43.260477	-94.856537	454.2	180.4	-1.8	146.4462	261.31	-1.8
2	43.258126	-94.856561	463.6	180.4	3.6	146.7074	261.2	3.6
2	43.255501	-94.856615	463.4	180.9	-0.1	146.999	291.66	-0.1
2	43.252652	-94.857035	455.5	186.1	-2.5	147.3174	318.35	-2.5
2	43.250644	-94.857369	461.7	186.9	2.8	147.5421	224.73	2.8
2	43.248155	-94.85779	460.9	187	-0.3	147.8207	278.63	-0.3
2	43.245535	-94.858231	461.1	187	0.1	148.114	293.27	0.1
2	43.243091	-94.858641	457.2	187	-1.4	148.3876	273.56	-1.4
2	43.24151	-94.85888	458.1	186.3	0.5	148.5643	176.71	0.5
2	43.241442	-94.857156	460.2	93.1	1.5	148.7045	140.23	1.5
2	43.241509	-94.853544	457.8	88.5	-0.8	148.998	293.46	-0.8
2	43.241568	-94.850538	456.5	88.5	-0.5	149.2422	244.24	-0.5
2	43.241633	-94.846187	452.2	88.8	-1.2	149.5957	353.47	-1.2
2	43.241666	-94.843494	447	89	-2.4	149.8144	218.76	-2.4
2	43.2417	-94.839875	440	89.3	-2.4	150.1084	293.96	-2.4
2	43.241689	-94.836401	436.7	90.2	-1.2	150.3905	282.16	-1.2
2	43.241642	-94.832519	439.1	91	0.8	150.7059	315.34	0.8
2	43.241603	-94.829568	438.6	91	-0.2	150.9456	239.72	-0.2
2	43.241546	-94.825077	423.7	91	-4.1	151.3104	364.82	-4.1
2	43.241512	-94.822393	427	91	1.5	151.5285	218.03	1.5
2	43.241468	-94.817975	418.9	90.8	-2.3	151.8873	358.87	-2.3
2	43.241446	-94.81534	417.6	90.7	-0.6	152.1014	214.03	-0.6
2	43.241425	-94.81133	415.3	90.4	-0.7	152.4271	325.7	-0.7
2	43.241409	-94.806756	424.7	90.3	2.5	152.7986	371.51	2.5
2	43.241398	-94.803912	417.7	90.3	-3	153.0296	231	-3
2	43.241387	-94.801068	413.2	90.3	-2	153.2606	231	-1.9
2	43.241375	-94.798224	411.5	90.3	-0.7	153.4916	231	-0.7
2	43.241413	-94.79366	411.8	89.3	0.1	153.8623	370.72	0.1
2	43.241455	-94.79046	408.5	89	-1.3	154.1222	259.95	-1.3
2	43.241498	-94.78726	402.6	88.9	-2.3	154.3822	259.95	-2.3
2	43.24154	-94.78406	400.5	89	-0.8	154.6421	259.95	-0.8
2	43.241583	-94.780859	400	88.9	-0.2	154.9022	260.03	-0.2
2	43.241633	-94.77555	396.5	89.3	-0.8	155.3334	431.24	-0.8
2	43.241646	-94.773061	394.7	89.6	-0.9	155.5356	202.16	-0.9
2	43.241659	-94.770571	396.8	89.6	1	155.7378	202.24	1
2	43.24165	-94.76531	393.5	90.1	-0.8	156.1651	427.3	-0.8
2	43.24165	-94.76253	394.4	90	0.4	156.3909	225.79	0.4
2	43.24165	-94.75975	394.5	90	0	156.6167	225.79	0
2	43.242135	-94.756524	389.5	78.3	-1.9	156.8842	267.5	-1.9
2	43.242694	-94.75295	380.8	77.9	-2.9	157.181	296.85	-2.9
2	43.242758	-94.749502	379.9	88.5	-0.3	157.4612	280.13	-0.3
2	43.242817	-94.746146	381.1	88.6	0.4	157.7338	272.65	0.4
2	43.241869	-94.743091	378.2	113.1	-1.1	158.0034	269.55	-1.1
2	43.24187	-94.74129	375.1	90	-2.1	158.1497	146.28	-2.1
2	43.241927	-94.738156	372.5	88.6	-1	158.4043	254.62	-1
2	43.241983	-94.735023	375.3	88.6	1.1	158.6588	254.54	1.1
2	43.24204	-94.731889	376.6	88.6	0.5	158.9134	254.62	0.5
2	43.242096	-94.728755	375.2	88.6	-0.6	159.1681	254.62	-0.5
2	43.242153	-94.725622	381.1	88.6	2.3	159.4226	254.54	2.3
2	43.242209	-94.722488	389	88.6	3.1	159.6772	254.62	3.1
2	43.242263	-94.71898	393.2	88.8	1.5	159.9622	284.98	1.5
2	43.242184	-94.71522	395.8	91.7	0.9	160.2677	305.51	0.9
2	43.242097	-94.71192	399.5	92.1	1.4	160.5359	268.2	1.4
2	43.242011	-94.70862	398.9	92	-0.2	160.8041	268.2	-0.2
2	43.241912	-94.705118	396.2	92.2	-1	161.0888	284.65	-0.9
2	43.241813	-94.701655	396.3	92.2	0	161.3702	281.48	0
2	43.241718	-94.696828	390.6	91.5	-1.5	161.7624	392.19	-1.5
2	43.241667	-94.692588	387.2	90.9	-1	162.1069	344.42	-1
2	43.241634	-94.689756	390.2	90.9	1.3	162.3369	230.05	1.3
2	43.241601	-94.686923	390.2	90.9	0	162.567	230.13	0
2	43.241567	-94.684091	391.6	90.9	0.6	162.7971	230.05	0.6
2	43.241516	-94.679827	378.5	90.9	-3.8	163.1434	346.37	-3.8
2	43.24151	-94.67897	378.8	90.5	0.4	163.2131	69.61	0.4
2	43.241509	-94.678805	379.3	90.5	3.7	163.2265	13.4	3.7
2	43.24151	-94.67881	379.3	285.4	0	163.2269	0.42	0
2	43.24151	-94.67871	379.6	90	3.7	163.235	8.12	3.7
2	43.24151	-94.67871	379.6	90		163.235	0	0
2	43.23977	-94.67873	378.5	180.5	-0.6	163.4283	193.32	-0.6
2	43.23908	-94.67874	378.4	180.6	-0.1	163.505	76.66	-0.1
2	43.23853	-94.67875	378.4	180.8	0	163.5661	61.11	0
2	43.23777	-94.67875	378.6	180	0.2	163.6505	84.43	0.2
2	43.23688	-94.67876	379.5	180.5	0.9	163.7494	98.88	0.9
2	43.23534	-94.67877	381.2	180.3	1	163.9205	171.09	1
2	43.23433	-94.67877	384.1	180	2.6	164.0327	112.21	2.6
2	43.23152	-94.67877	394	180	3.2	164.3449	312.18	3.2
2	43.2271	-94.67878	400.6	180.1	1.3	164.8359	491.05	1.3
2	43.2251	-94.67877	402.1	179.8	0.7	165.0581	222.2	0.7
2	43.22379	-94.67878	402	180.3	-0.1	165.2037	145.54	-0.1
2	43.21698	-94.67879	400.1	180.1	-0.3	165.9602	756.57	-0.3
2	43.21537	-94.6788	398.7	180.3	-0.8	166.1391	178.87	-0.8
2	43.21261	-94.67881	395.6	180.2	-1	166.4457	306.63	-1
2	43.20694	-94.6788	386.3	179.9	-1.5	167.0757	629.92	-1.5
2	43.2055	-94.6788	389.8	180	2.2	167.2356	159.98	2.2
2	43.20464	-94.6788	389.8	180	0	167.3312	95.54	0
2	43.20455	-94.6788	389.8	180	0	167.3412	10	0
2	43.19814	-94.67877	383.3	179.8	-0.9	168.0533	712.13	-0.9
2	43.19088	-94.67877	379.4	180	-0.5	168.8599	806.56	-0.5
2	43.18972	-94.67877	380.2	180	0.6	168.9887	128.87	0.6
2	43.18838	-94.67876	380	179.7	-0.1	169.1376	148.87	-0.1
2	43.18365	-94.67873	381.1	179.7	0.2	169.6631	525.49	0.2
2	43.18315	-94.67873	380.7	180	-0.7	169.7187	55.55	-0.7
2	43.17402	-94.67871	378.2	179.9	-0.2	170.733	1014.31	-0.2
2	43.16919	-94.67871	379	180	0.1	171.2696	536.59	0.1
2	43.16199	-94.67874	381.5	180.2	0.3	172.0695	799.89	0.3
2	43.15903	-94.67875	381	180.1	-0.2	172.3983	328.84	-0.2
2	43.1587	-94.67875	380.8	180	-0.5	172.435	36.66	-0.5
2	43.15585	-94.67876	379.9	180.1	-0.3	172.7516	316.62	-0.3
2	43.15412	-94.67875	380.2	179.8	0.2	172.9438	192.2	0.2
2	43.15276	-94.67875	381	180	0.5	173.0949	151.09	0.5
2	43.15167	-94.67876	381.3	180.4	0.2	173.216	121.1	0.2
2	43.14992	-94.67876	382.8	180	0.8	173.4104	194.42	0.8
2	43.14818	-94.67875	383.4	179.8	0.3	173.6037	193.31	0.3
2	43.14644	-94.67875	382.7	180	-0.4	173.797	193.31	-0.4
2	43.14376	-94.67877	381.4	180.3	-0.4	174.0947	297.74	-0.4
2	43.14173	-94.67877	379	180	-1.1	174.3203	225.52	-1.1
2	43.14088	-94.67878	377.9	180.5	-1.2	174.4147	94.43	-1.2
2	43.14003	-94.67878	377.3	180	-0.6	174.5091	94.43	-0.6
2	43.13867	-94.67877	376.4	179.7	-0.6	174.6602	151.09	-0.6
2	43.13735	-94.67876	375.4	179.7	-0.7	174.8069	146.65	-0.7
2	43.13519	-94.67877	374.9	180.2	-0.2	175.0468	239.97	-0.2
2	43.13102	-94.67878	374.9	180.1	0	175.5101	463.27	0
2	43.13039	-94.67877	375	179.3	0.1	175.5801	69.99	0.1
2	43.12918	-94.67877	375.9	180	0.7	175.7145	134.43	0.7
2	43.12818	-94.67877	376.2	180	0.3	175.8256	111.1	0.3
2	43.12738	-94.67877	376	180	-0.2	175.9145	88.88	-0.2
2	43.12714	-94.67879	375.9	183.5	-0.4	175.9412	26.71	-0.4
2	43.12704	-94.67882	375.8	192.3	-0.9	175.9526	11.37	-0.9
2	43.12704	-94.67882	375.8	192.3		175.9526	0	0
2	43.12683	-94.67897	375.6	207.5	-0.8	175.9789	26.33	-0.8
2	43.12674	-94.67906	375.5	216.1	-0.8	175.9913	12.39	-0.8
2	43.12667	-94.67917	375.4	228.9	-0.8	176.0032	11.86	-0.8
2	43.1266	-94.67931	375.4	235.6	0	176.017	13.79	0
2	43.12656	-94.67942	375.4	243.5	0	176.027	9.99	0
2	43.12651	-94.67965	375.4	253.4	0	176.0465	19.52	0
2	43.1265	-94.67992	375.7	267.1	1.4	176.0685	22	1.4
2	43.1265	-94.68026	376	270	1.1	176.0961	27.67	1.1
2	43.12647	-94.681	376.8	266.8	1.3	176.1565	60.31	1.3
2	43.12647	-94.681	376.8	266.8		176.1565	0	0
2	43.12635	-94.68128	377	239.6	0.8	176.1829	26.4	0.8
2	43.12622	-94.68147	377.1	226.8	0.5	176.204	21.16	0.5
2	43.12604	-94.68169	377.3	221.7	0.7	176.2308	26.84	0.7
2	43.12534	-94.68179	377.2	186	-0.1	176.309	78.19	-0.1
2	43.12496	-94.68184	377.2	185.5	0	176.3515	42.41	0
2	43.12315	-94.68207	377.2	185.3	0	176.5534	201.95	0
2	43.12289	-94.68209	377.7	183.2	1.7	176.5823	28.93	1.7
2	43.12268	-94.68212	378	186	1.3	176.6058	23.46	1.3
2	43.12228	-94.68215	378.1	183.1	0.2	176.6503	44.51	0.2
2	43.12207	-94.68218	378	186	-0.4	176.6738	23.46	-0.4
2	43.12162	-94.68224	376.8	185.6	-2.4	176.724	50.23	-2.4
2	43.12162	-94.68224	376.8	185.6		176.724	0	0
2	43.12157	-94.68168	375	97	-3.9	176.7699	45.91	-3.9
2	43.12156	-94.6816	375	99.7	0	176.7765	6.6	0
2	43.12154	-94.68129	375	95.1	0	176.8018	25.33	0
2	43.12158	-94.681	375	79.3	0	176.8258	24.01	0
2	43.12159	-94.68088	375	83.5	0	176.8357	9.83	0
2	43.12163	-94.68077	374.9	63.5	-1	176.8457	9.99	-1
2	43.12163	-94.68077	374.9	63.5		176.8457	0	0
2	43.12157	-94.68061	374.9	117.2	0	176.8603	14.63	0
2	43.12157	-94.68045	374.9	90	0	176.8733	13.02	0
2	43.12163	-94.67945	373.7	85.3	-1.5	176.955	81.65	-1.5
2	43.12163	-94.67945	373.7	85.3		176.955	0	0
2	43.12157	-94.68045	374.9	265.3	1.5	177.0366	81.65	1.5
2	43.12157	-94.68061	374.9	270	0	177.0496	13.02	0
2	43.12163	-94.68077	374.9	297.2	0	177.0643	14.63	0
2	43.12163	-94.68077	374.9	297.2		177.0643	0	0
2	43.12159	-94.68088	375	243.5	1	177.0743	9.99	1
2	43.12158	-94.681	375	263.5	0	177.0841	9.83	0
3	43.12154	-94.68129	375	259.3	0	177.1081	24.01	0
3	43.12156	-94.6816	375	275.1	0	177.1334	25.33	0
3	43.12157	-94.68168	375	279.7	0	177.14	6.6	0
3	43.12162	-94.68224	376.8	277	3.9	177.1859	45.91	3.9
3	43.12162	-94.68224	376.8	277		177.1859	0	0
3	43.12207	-94.68218	378	5.6	2.4	177.2362	50.23	2.4
3	43.12228	-94.68215	378.1	6	0.4	177.2596	23.46	0.4
3	43.12268	-94.68212	378	3.1	-0.2	177.3041	44.51	-0.2
3	43.12289	-94.68209	377.7	6	-1.3	177.3276	23.46	-1.3
3	43.12315	-94.68207	377.2	3.2	-1.7	177.3565	28.93	-1.7
3	43.12496	-94.68184	377.2	5.3	0	177.5585	201.95	0
3	43.12534	-94.68179	377.2	5.5	0	177.6009	42.41	0
3	43.12604	-94.68169	377.3	6	0.1	177.6791	78.19	0.1
3	43.12604	-94.68169	377.3	6		177.6791	0	0
3	43.12622	-94.68147	377.1	41.7	-0.7	177.7059	26.84	-0.7
3	43.12635	-94.68128	377	46.8	-0.5	177.7271	21.16	-0.5
3	43.12647	-94.681	376.8	59.6	-0.8	177.7535	26.4	-0.8
3	43.1265	-94.68026	376	86.8	-1.3	177.8138	60.31	-1.3
3	43.1265	-94.67992	375.7	90	-1.1	177.8414	27.67	-1.1
3	43.12651	-94.67965	375.4	87.1	-1.4	177.8634	22	-1.4
3	43.12656	-94.67942	375.4	73.4	0	177.883	19.52	0
3	43.1266	-94.67931	375.4	63.5	0	177.893	9.99	0
3	43.12667	-94.67917	375.4	55.6	0	177.9068	13.79	0
3	43.12674	-94.67906	375.5	48.9	0.8	177.9186	11.86	0.8
3	43.12683	-94.67897	375.6	36.1	0.8	177.931	12.39	0.8
3	43.12704	-94.67882	375.8	27.5	0.8	177.9573	26.33	0.8
3	43.12704	-94.67882	375.8	27.5		177.9573	0	0
3	43.12714	-94.67879	375.9	12.3	0.9	177.9687	11.37	0.9
3	43.12738	-94.67877	376	3.5	0.4	177.9954	26.71	0.4
3	43.12818	-94.67877	376.2	0	0.2	178.0843	88.88	0.2
3	43.12918	-94.67877	375.9	0	-0.3	178.1954	111.1	-0.3
3	43.13039	-94.67877	375	0	-0.7	178.3298	134.43	-0.7
3	43.13102	-94.67878	374.9	359.3	-0.1	178.3998	69.99	-0.1
3	43.13519	-94.67877	374.9	0.1	0	178.8631	463.27	0
3	43.13735	-94.67876	375.4	0.2	0.2	179.1031	239.97	0.2
3	43.13867	-94.67877	376.4	359.7	0.7	179.2497	146.65	0.7
3	43.14003	-94.67878	377.3	359.7	0.6	179.4008	151.09	0.6
3	43.14088	-94.67878	377.9	0	0.6	179.4952	94.43	0.6
3	43.14173	-94.67877	379	0.5	1.2	179.5897	94.43	1.2
